url_id,Second,Actions_id
vBbjA4tWCPg,903,[11]
vBbjA4tWCPg,906,[ 1 59 64]
vBbjA4tWCPg,908,[ 1 59]
vBbjA4tWCPg,909,[1]
vBbjA4tWCPg,910,[74  8]
vBbjA4tWCPg,911,[11 74 80]
vBbjA4tWCPg,912,[11 74 80]
vBbjA4tWCPg,920,[11 64]
vBbjA4tWCPg,927,[12 64]
vBbjA4tWCPg,929,[64]
vBbjA4tWCPg,933,[12 64]
vBbjA4tWCPg,934,[12 64]
vBbjA4tWCPg,946,[8]
vBbjA4tWCPg,947,[8]
vBbjA4tWCPg,948,[8]
vBbjA4tWCPg,949,[ 1 80]
vBbjA4tWCPg,950,[ 3 80]
vBbjA4tWCPg,954,[12 79 80]
vBbjA4tWCPg,955,[12 79 80]
vBbjA4tWCPg,959,[14 38]
vBbjA4tWCPg,960,[1]
vBbjA4tWCPg,961,[14 80]
vBbjA4tWCPg,962,[ 1 59]
vBbjA4tWCPg,963,[ 1 59]
vBbjA4tWCPg,964,[ 1 45 59]
vBbjA4tWCPg,965,[1]
vBbjA4tWCPg,967,[ 1 59]
vBbjA4tWCPg,973,[11 59]
vBbjA4tWCPg,975,[8]
vBbjA4tWCPg,976,[8]
vBbjA4tWCPg,977,[8]
vBbjA4tWCPg,978,[8]
vBbjA4tWCPg,979,[8]
vBbjA4tWCPg,980,[8]
vBbjA4tWCPg,981,[ 8 80]
vBbjA4tWCPg,987,[10]
vBbjA4tWCPg,992,[12 59]
vBbjA4tWCPg,1000,[10 59]
vBbjA4tWCPg,1001,[10]
vBbjA4tWCPg,1002,[10 38]
vBbjA4tWCPg,1003,[10 59]
vBbjA4tWCPg,1005,[10]
vBbjA4tWCPg,1007,[10 80]
vBbjA4tWCPg,1013,[10]
vBbjA4tWCPg,1016,[ 1 17]
vBbjA4tWCPg,1018,[1]
vBbjA4tWCPg,1028,[12 80]
vBbjA4tWCPg,1029,[12 80]
vBbjA4tWCPg,1032,[ 2 20]
vBbjA4tWCPg,1036,[2]
vBbjA4tWCPg,1037,[ 2 20 80]
vBbjA4tWCPg,1038,[10 20]
vBbjA4tWCPg,1039,[10]
vBbjA4tWCPg,1049,[11 28]
vBbjA4tWCPg,1050,[11 28]
vBbjA4tWCPg,1051,[14]
vBbjA4tWCPg,1052,[10]
vBbjA4tWCPg,1059,[12 64 80]
vBbjA4tWCPg,1063,[12 64 80]
vBbjA4tWCPg,1064,[12 64 80]
vBbjA4tWCPg,1068,[12 64]
vBbjA4tWCPg,1070,[10]
vBbjA4tWCPg,1072,[10]
vBbjA4tWCPg,1075,[11 28]
vBbjA4tWCPg,1076,[11 28]
vBbjA4tWCPg,1077,[12 59 80]
vBbjA4tWCPg,1079,[1]
vBbjA4tWCPg,1081,[ 1 58 64 80]
vBbjA4tWCPg,1083,[12 64]
vBbjA4tWCPg,1085,[12 64 79 80]
vBbjA4tWCPg,1087,[12 17 64 80]
vBbjA4tWCPg,1088,[12 64 80]
vBbjA4tWCPg,1089,[12 64]
vBbjA4tWCPg,1095,[12 64 71 80]
vBbjA4tWCPg,1098,[ 5 59]
vBbjA4tWCPg,1099,[ 5 64]
vBbjA4tWCPg,1106,[10]
vBbjA4tWCPg,1107,[10]
vBbjA4tWCPg,1108,[10]
vBbjA4tWCPg,1113,[10]
vBbjA4tWCPg,1114,[10 59]
vBbjA4tWCPg,1115,[10]
vBbjA4tWCPg,1118,[10 74]
vBbjA4tWCPg,1124,[11 28 80]
vBbjA4tWCPg,1135,[49  7]
vBbjA4tWCPg,1138,[11 28]
vBbjA4tWCPg,1144,[11 28 64]
vBbjA4tWCPg,1156,[11 28]
vBbjA4tWCPg,1157,[11 28 64]
vBbjA4tWCPg,1159,[49  8]
vBbjA4tWCPg,1160,[11 28 64]
vBbjA4tWCPg,1170,[49  8]
vBbjA4tWCPg,1174,[11 28 79]
vBbjA4tWCPg,1178,[10]
vBbjA4tWCPg,1179,[10]
vBbjA4tWCPg,1181,[ 1 20 59]
vBbjA4tWCPg,1182,[10]
vBbjA4tWCPg,1183,[7]
vBbjA4tWCPg,1184,[80]
vBbjA4tWCPg,1185,[11 59 80]
vBbjA4tWCPg,1186,[11 59 74 80]
vBbjA4tWCPg,1190,[11 59 79]
vBbjA4tWCPg,1199,[11 54 59]
vBbjA4tWCPg,1200,[11 54 59]
vBbjA4tWCPg,1201,[11 54 59 79]
vBbjA4tWCPg,1202,[11 54 59 79]
vBbjA4tWCPg,1203,[11 59 79 80]
vBbjA4tWCPg,1204,[11 74 80]
