url_id,Second,Actions_id
7YpF6DntOYw,918,[14 79]
7YpF6DntOYw,936,[14 66]
7YpF6DntOYw,948,[12 79 80]
7YpF6DntOYw,953,[12 72 80]
7YpF6DntOYw,957,[12 70 72]
7YpF6DntOYw,959,[14]
7YpF6DntOYw,962,[12 70 72]
7YpF6DntOYw,964,[12 70 72]
7YpF6DntOYw,966,[12 80]
7YpF6DntOYw,973,[14]
7YpF6DntOYw,1016,[11]
7YpF6DntOYw,1023,[10]
7YpF6DntOYw,1024,[10]
7YpF6DntOYw,1025,[12 79]
7YpF6DntOYw,1028,[12 79 80]
7YpF6DntOYw,1029,[12 79]
7YpF6DntOYw,1031,[12 79 80]
7YpF6DntOYw,1032,[12 79]
7YpF6DntOYw,1033,[12 79]
7YpF6DntOYw,1034,[12 79]
7YpF6DntOYw,1035,[12 74 80]
7YpF6DntOYw,1036,[12 74]
7YpF6DntOYw,1037,[12 79]
7YpF6DntOYw,1038,[12 79 80]
7YpF6DntOYw,1039,[12 79 80]
7YpF6DntOYw,1043,[12 80]
7YpF6DntOYw,1045,[12 17]
7YpF6DntOYw,1046,[12 17]
7YpF6DntOYw,1048,[12 80]
7YpF6DntOYw,1060,[12 58]
7YpF6DntOYw,1062,[12]
7YpF6DntOYw,1063,[12 80]
7YpF6DntOYw,1064,[12]
7YpF6DntOYw,1067,[12 35]
7YpF6DntOYw,1068,[3]
7YpF6DntOYw,1080,[12 74]
7YpF6DntOYw,1089,[14]
7YpF6DntOYw,1102,[11 17]
7YpF6DntOYw,1103,[11 79 80]
7YpF6DntOYw,1104,[11 12 79 80]
7YpF6DntOYw,1105,[11 79]
7YpF6DntOYw,1108,[11 79 80]
7YpF6DntOYw,1109,[11 79 80]
7YpF6DntOYw,1110,[11 79 80]
7YpF6DntOYw,1114,[11 79 80]
7YpF6DntOYw,1124,[11 17]
7YpF6DntOYw,1125,[11 17]
7YpF6DntOYw,1131,[11 74 79 80]
7YpF6DntOYw,1132,[11 79]
7YpF6DntOYw,1133,[11]
7YpF6DntOYw,1134,[11 80]
7YpF6DntOYw,1141,[11 79 80]
7YpF6DntOYw,1154,[11]
7YpF6DntOYw,1155,[11]
7YpF6DntOYw,1156,[11]
7YpF6DntOYw,1157,[11]
7YpF6DntOYw,1158,[11]
7YpF6DntOYw,1159,[11]
7YpF6DntOYw,1160,[11]
7YpF6DntOYw,1161,[11]
7YpF6DntOYw,1163,[11 74]
7YpF6DntOYw,1164,[11]
7YpF6DntOYw,1166,[11 17 78]
7YpF6DntOYw,1167,[11 17]
7YpF6DntOYw,1168,[11 17]
7YpF6DntOYw,1169,[11 17]
7YpF6DntOYw,1170,[11 17]
7YpF6DntOYw,1171,[11 17 79]
7YpF6DntOYw,1172,[11 17 79]
7YpF6DntOYw,1173,[11 17 79]
7YpF6DntOYw,1174,[11 17 79]
7YpF6DntOYw,1180,[11]
7YpF6DntOYw,1181,[11]
7YpF6DntOYw,1182,[11]
7YpF6DntOYw,1183,[11]
7YpF6DntOYw,1184,[11]
7YpF6DntOYw,1185,[11 79]
7YpF6DntOYw,1186,[11 79]
7YpF6DntOYw,1187,[11 17 79]
7YpF6DntOYw,1188,[11 79]
7YpF6DntOYw,1189,[11]
7YpF6DntOYw,1190,[11 17]
7YpF6DntOYw,1191,[11 79]
7YpF6DntOYw,1192,[11 17 79]
7YpF6DntOYw,1193,[11 17]
7YpF6DntOYw,1194,[11]
7YpF6DntOYw,1195,[11]
7YpF6DntOYw,1196,[11 17]
7YpF6DntOYw,1197,[11 27]
7YpF6DntOYw,1198,[11 27]
7YpF6DntOYw,1199,[11 27]
7YpF6DntOYw,1200,[11 27]
7YpF6DntOYw,1205,[11 17]
7YpF6DntOYw,1213,[11]
7YpF6DntOYw,1214,[11]
7YpF6DntOYw,1215,[11]
7YpF6DntOYw,1216,[11]
7YpF6DntOYw,1217,[11]
7YpF6DntOYw,1218,[11]
7YpF6DntOYw,1219,[11]
7YpF6DntOYw,1220,[11]
7YpF6DntOYw,1221,[11]
7YpF6DntOYw,1222,[11 17]
7YpF6DntOYw,1223,[11 17]
7YpF6DntOYw,1224,[11 17]
